ID,Câu hỏi,Lựa chọn 1,Lựa chọn 2,Lựa chọn 3,Lựa chọn 4,Đáp án đúng,Điểm liệt,Chương,Hình ảnh
1,Phần của đường bộ được sử dụng cho phương tiện giao thông đường bộ đi lại là gì?,Phần mặt đường và lề đường.,Phần đường xe chạy.,Phần đường xe cơ giới.,,2,False,1,
2,Làn đường là gì?,Là một phần của phần đường xe chạy được chia theo chiều dọc của đường sử dụng cho xe chạy.,Là một phần của phần đường xe chạy được chia theo chiều dọc của đường có đủ chiều rộng cho xe chạy an toàn.,Là đường cho xe ô tô chạy dừng đỗ an toàn.,,2,False,1,
3,Khổ giới hạn của đường bộ được hiểu như thế nào là đúng?,Khổ giới hạn của đường bộ là khoảng trống có kích thước giới hạn về chiều rộng chiều cao của đường bộ để các xe bao gồm cả hàng hoá xếp trên xe đi qua được an toàn và được xác định theo quy chuẩn tiêu chuẩn kỹ thuật của đường bộ.,Là khoảng trống có kích thước giới hạn về chiều rộng của đường cầu bến phà hầm trên đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.,Là khoảng trống có kích thước giới hạn về chiều cao của cầu bến phà hầm trên đường bộ để các xe đi qua được an toàn.,,1,False,1,
4,Dải phân cách được lắp đặt để làm gì?,Để phân chia các làn đường dành cho xe cơ giới và xe thô sơ trên đường cao tốc.,Để phân chia phần đường xe chạy thành hai chiều riêng biệt hoặc để phân chia phần đường dành cho xe cơ giới và xe thô sơ hoặc của nhiều loại xe khác nhau trên cùng một chiều đường.,Để phân tách phần đường xe chạy và hành lang an toàn giao thông.,,2,False,1,
5,Vạch kẻ đường là gì?,Là báo hiệu đường bộ để hỗ trợ cảnh báo nguy hiểm cho người tham gia giao thông đường bộ.,Là vạch chỉ sự phân chia làn đường vị trí hoặc hướng đi vị trí dừng lại.,Là báo hiệu cho người tham gia giao thông đường bộ về các thông tin của đường bộ.,Cả ba ý trên.,2,False,1,
6,Người điều khiển phương tiện tham gia giao thông đường bộ được hiểu như thế nào là đúng?,Là người điều khiển xe cơ giới người điều khiển xe thô sơ người điều khiển xe máy chuyên dùng.,Là người được giao nhiệm vụ hướng dẫn giao thông trên đường bộ.,Cả hai ý trên.,,1,False,1,
7,Người lái xe được hiểu như thế nào là đúng?,Là người điều khiển xe cơ giới.,Là người điều khiển xe thô sơ.,Là người điều khiển xe máy chuyên dùng.,,1,False,1,
8,Trong nhóm các phương tiện giao thông đường bộ dưới đây nhóm phương tiện nào là xe cơ giới?,Xe ô tô; máy kéo; xe mô tô hai bánh; xe mô tô ba bánh; xe gắn máy; xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng; xe đạp xe đạp máy xe đạp điện.,Xe ô tô; rơ moóc được kéo bởi xe ô tô; sơ mi rơ moóc được kéo bởi ô tô đầu kéo; xe chở người bốn bánh có gắn động cơ; xe chở hàng bốn bánh có gắn động cơ; xe mô tô xe gắn máy và các loại xe tương tự.,,,2,False,1,
9,Trong nhóm các phương tiện giao thông đường bộ dưới đây nhóm phương tiện nào là xe thô sơ?,Xe đạp xe đạp máy xe đạp điện; xe xích lô; xe lăn dùng cho người khuyết tật; xe vật nuôi kéo và các loại xe tương tự.,Xe đạp (kể cả xe đạp máy xe đạp điện) xe gắn máy xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.,Xe ô tô máy kéo rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô máy kéo.,,1,False,1,
10,"Phương tiện giao thông đường bộ"" gồm những loại nào?",Phương tiện giao thông cơ giới đường bộ.,Phương tiện giao thông thô sơ đường bộ xe máy chuyên dùng và các loại xe tương tự.,Cả hai ý trên.,,3,False,1,
11,Người tham gia giao thông đường bộ gồm những đối tượng nào?,Người điều khiển người được chở trên phương tiện tham gia giao thông đường bộ.,Người điều khiển dẫn dắt vật nuôi trên đường bộ; người đi bộ trên đường bộ.,Cả hai ý trên.,,3,False,1,
12,Người điều khiển phương tiện tham gia giao thông đường bộ gồm những đối tượng nào dưới đây?,Người điều khiển xe cơ giới người điều khiển xe thô sơ.,Người điều khiển xe máy chuyên dùng.,Cả hai ý trên.,,3,False,1,
13,Người điều khiển giao thông đường bộ được hiểu như thế nào là đúng?,Là người điều khiển phương tiện tham gia giao thông đường bộ.,Là Cảnh sát giao thông và người được giao nhiệm vụ hướng dẫn giao thông trên đường bộ.,Là người tham gia giao thông đường bộ.,,2,False,1,
14,Hành vi nào dưới đây bị nghiêm cấm?,Sử dụng xe đạp đi trên các tuyến quốc lộ.,Rải vật sắc nhọn đổ chất gây trơn trượt trên đường bộ.,Cả hai ý trên.,,2,True,1,
15,Hành vi đưa xe cơ giới xe máy chuyên dùng tham gia giao thông đường bộ nào dưới đây bị cấm?,Không có chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường.,Hết niên hạn sử dụng.,Cả hai ý trên.,,3,True,1,
16,Tổ chức đua xe được phép thực hiện khi nào?,Trên đường phố không có người qua lại.,Được người dân ủng hộ.,Được cơ quan có thẩm quyền cấp phép.,,3,True,1,
17,Hành vi đua xe trái phép bị xử lý như thế nào?,Chỉ bị nhắc nhở.,Tùy theo mức độ của hành vi vi phạm có thể bị xử lý hành chính hoặc xử lý hình sự.,,,2,True,1,
18,Người điều khiển phương tiện tham gia giao thông đường bộ mà trong máu hoặc hơi thở có nồng độ cồn có bị nghiêm cấm không?,Bị nghiêm cấm.,Không bị nghiêm cấm.,Không bị nghiêm cấm nếu nồng độ cồn trong máu ở mức nhẹ có thể điều khiển phương tiện tham gia giao thông.,,1,True,1,
19,Theo Luật Phòng chống tác hại của rượu bia đối tượng nào dưới đây bị cấm sử dụng rượu bia khi tham gia giao thông?,Người điều khiển xe ô tô xe mô tô xe đạp xe gắn máy.,Người được chở trên xe cơ giới.,Cả hai ý trên.,,1,True,1,
20,Hành vi giao xe ô tô mô tô cho người nào sau đây tham gia giao thông đường bộ bị nghiêm cấm?,Người chưa đủ tuổi theo quy định.,Người không có giấy phép lái xe.,Người có giấy phép lái xe nhưng đã bị trừ hết 12 điểm.,Cả ba ý trên.,4,True,1,
21,Hành vi nào sau đây bị nghiêm cấm?,Điều khiển xe cơ giới lạng lách đánh võng rú ga liên tục khi tham gia giao thông trên đường.,Xúc phạm đe dọa cản trở chống đối hoặc không chấp hành hiệu lệnh hướng dẫn yêu cầu kiểm tra kiểm soát của người thi hành công vụ về bảo đảm trật tự an toàn giao thông đường bộ.,Cả hai ý trên.,,3,True,1,
22,Các hành vi nào sau đây bị cấm đối với phương tiện tham gia giao thông đường bộ?,Cải tạo xe ô tô loại khác thành xe ô tô chở người phục vụ mục đích quốc phòng an ninh.,Cải tạo trái phép; cố ý can thiệp làm sai lệch chỉ số trên đồng hồ báo quãng đường đã chạy của xe ô tô; cắt hàn tẩy xóa đục sửa đóng lại trái phép số khung số động cơ của xe cơ giới xe máy chuyên dùng.,,,2,False,1,
23,Hành vi nào sau đây bị cấm?,Lắp đặt sử dụng thiết bị âm thanh ánh sáng trên xe cơ giới xe máy chuyên dùng gây mất trật tự an toàn giao thông đường bộ.,Cản trở người phương tiện tham gia giao thông trên đường bộ; ném gạch đất đá cát hoặc vật thể khác vào người phương tiện đang tham gia giao thông trên đường bộ.,Cả hai ý trên.,,3,True,1,
24,Việc sản xuất sử dụng mua bán trái phép biển số xe có bị nghiêm cấm hay không?,Không bị nghiêm cấm.,Bị nghiêm cấm.,Bị nghiêm cấm tuỳ trường hợp.,,2,True,1,
25,Khi điều khiển phương tiện tham gia giao thông những hành vi nào dưới đây bị nghiêm cấm?,Thay đổi tốc độ của xe nhiều lần.,Điều khiển phương tiện sau 23 giờ trong ngày.,Lạng lách đánh võng rú ga liên tục.,,3,True,1,
26,Có bao nhiêu nhóm biển báo hiệu đường bộ?,Ba nhóm: Biển báo cấm biển báo nguy hiểm và biển hiệu lệnh.,Bốn nhóm: Biển báo cấm biển báo nguy hiểm biển hiệu lệnh và biển phụ.,Năm nhóm: Biển báo cấm biển báo nguy hiểm biển hiệu lệnh biển chỉ dẫn biển phụ.,,3,False,1,
27,Tại nơi có vạch kẻ đường hoặc tại nơi mà người đi bộ xe lăn của người khuyết tật đang qua đường người điều khiển phương tiện tham gia giao thông phải thực hiện như thế nào?,Giảm tốc độ và nhường đường cho người đi bộ xe lăn của người khuyết tật qua đường đảm bảo an toàn.,Quan sát giảm tốc độ hoặc dừng lại để bảo đảm an toàn cho người đi bộ xe lăn của người khuyết tật qua đường.,Quan sát tăng tốc độ và điều khiển phương tiện nhanh chóng đi qua.,,2,False,1,
28,Người điều khiển xe mô tô phải quan sát giảm tốc độ hoặc dừng lại để bảo đảm an toàn trong các trường hợp nào dưới đây?,Đường hẹp đường vòng đường quanh co đường đèo dốc.,Nơi cầu cống hẹp đập tràn đường ngầm hầm chui hầm đường bộ.,Trời mưa gió sương khói bụi mặt đường trơn trượt lầy lội có nhiều đất đá vật liệu rơi vãi ảnh hưởng đến an toàn giao thông đường bộ.,Cả ba ý trên.,4,False,1,
29,Khi gặp hiệu lệnh điều khiển của Cảnh sát giao thông như hình dưới đây thì người tham gia giao thông đường bộ phải đi như thế nào là đúng quy tắc giao thông?,Người tham gia giao thông đường bộ ở các hướng phải dừng lại.,Người tham gia giao thông đường bộ ở các hướng được đi theo chiều gậy chỉ của Cảnh sát giao thông.,Người tham gia giao thông đường bộ ở phía trước và phía sau người điều khiển được đi tất cả các hướng; người tham gia giao thông đường bộ ở phía bên phải và phía bên trái người điều khiển phải dừng lại.,Người tham gia giao thông đường bộ ở phía trước và phía sau người điều khiển phải dừng lại; người tham gia giao thông đường bộ ở phía bên phải và phía bên trái người điều khiển được đi tất cả các hướng.,4,False,1,img_29.png
30,Khi gặp hiệu lệnh điều khiển của Cảnh sát giao thông như hình dưới đây thì người tham gia giao thông đường bộ phải đi như thế nào là đúng quy tắc giao thông?,Người tham gia giao thông đường bộ ở phía sau Cảnh sát giao thông được đi các hướng khác phải dừng lại.,Người tham gia giao thông đường bộ được rẽ phải theo chiều mũi tên màu xanh ở bục Cảnh sát giao thông.,Người tham gia giao thông đường bộ ở tất cả các hướng phải dừng lại trừ các xe đã ở trong khu vực giao nhau.,Người tham gia giao thông đường bộ ở phía trước Cảnh sát giao thông phải dừng lại các hướng khác được đi.,3,False,1,img_30.png
31,Khi hiệu lệnh của người điều khiển giao thông trái với tín hiệu đèn giao thông hoặc biển báo hiệu đường bộ thì người tham gia giao thông đường bộ phải chấp hành báo hiệu đường bộ nào dưới đây?,Theo hiệu lệnh của người điều khiển giao thông.,Theo tín hiệu đèn giao thông.,Theo biển báo hiệu đường bộ.,,1,False,1,
32,Khi ở một vị trí vừa có biển báo hiệu đặt cố định vừa có biển báo hiệu tạm thời mà hai biển có ý nghĩa khác nhau người tham gia giao thông đường bộ phải chấp hành hiệu lệnh của biển báo hiệu nào?,Biển báo hiệu đặt cố định.,Biển báo hiệu tạm thời.,Theo quyết định của người tham gia giao thông nhưng phải bảo đảm an toàn.,,2,False,1,
33,Tại nơi đường giao nhau khi đèn điều khiển giao thông có tín hiệu màu vàng người điều khiển phương tiện tham gia giao thông phải chấp hành như thế nào là đúng quy tắc giao thông?,Dừng lại trước vạch dừng; trường hợp đang đi trên vạch dừng hoặc đã đi qua vạch dừng mà tín hiệu đèn màu vàng thì được đi tiếp; trường hợp tín hiệu đèn màu vàng nhấp nháy người điều khiển phương tiện tham gia giao thông đường bộ được đi nhưng phải quan sát giảm tốc độ hoặc dừng lại nhường đường cho người đi bộ xe lăn của người khuyết tật qua đường hoặc các phương tiện khác.,Tăng tốc độ nhanh chóng vượt qua nút giao.,Quan sát giảm tốc độ từ từ vượt qua nút giao.,,1,False,1,
34,Người lái xe trên đường cần chấp hành quy định về tốc độ tối đa như thế nào?,Chỉ lớn hơn tốc độ tối đa cho phép khi đường vắng.,Chỉ lớn hơn tốc độ tối đa cho phép khi vào ban đêm.,Không vượt quá tốc độ tối đa cho phép.,,3,False,1,
35,Phương tiện tham gia giao thông đường bộ di chuyển với tốc độ thấp hơn phải đi như thế nào?,Đi về bên trái theo chiều đi của mình.,Đi về bên phải theo chiều đi của mình.,Đi ở bất cứ bên nào nhưng phải bấm đèn cảnh báo nguy hiểm để báo hiệu cho các phương tiện khác.,,2,False,1,
36,Trên một chiều đường có vạch kẻ phân làn đường người lái xe cơ giới xe máy chuyên dùng phải điều khiển xe đi trên làn đường nào?,Đi trên làn đường bên phải trong cùng.,Đi trên làn đường bên trái.,Đi ở bất cứ làn nào nhưng phải bảo đảm tốc độ cho phép.,,2,False,1,
37,Người lái xe phải giảm tốc độ có tín hiệu rẽ phải và đi sát về bên phải của phần đường xe chạy trong các trường hợp nào dưới đây?,Khi xe chạy phía trước có tín hiệu vượt xe khác.,Khi phía trước có xe chạy ngược chiều.,Khi xe sau xin vượt nếu đủ điều kiện an toàn.,Khi xe sau có tín hiệu vượt bên phải.,3,False,1,
38,Vượt xe là gì?,Là tình huống giao thông trên đường mà mỗi chiều đường xe chạy chỉ có một làn đường dành cho xe cơ giới xe đi phía sau di chuyển sang bên trái để di chuyển lên trước xe phía trước.,Là tình huống giao thông trên đường có từ hai làn đường dành cho xe cơ giới cùng chiều trở lên được phân biệt bằng vạch kẻ đường xe đi phía sau di chuyển lên trước xe phía trước theo quy tắc sử dụng làn đường.,,,1,False,1,
39,Người lái xe được phép vượt xe trên cầu hẹp có một làn đường đường cong có tầm nhìn bị hạn chế hay không?,Được phép vượt khi đường vắng.,Không được phép vượt.,Được phép vượt khi có việc gấp.,,2,True,1,
40,Muốn vượt xe phía trước người lái xe mô tô phải có tín hiệu như thế nào dưới đây để bảo đảm an toàn?,Bấm còi liên tục để xe phía trước biết xe mình xin vượt.,Rú ga liên tục để xe phía trước biết xe mình xin vượt.,Báo hiệu nhấp nháy bằng đèn chiếu sáng phía trước hoặc còi.,,3,True,1,
41,Khi lái xe trong khu đông dân cư khu vực cơ sở khám bệnh chữa bệnh trừ các khu vực có biển cấm sử dụng còi người lái xe được sử dụng còi trong thời gian nào?,Từ 22 giờ ngày hôm trước đến 05 giờ ngày hôm sau.,Từ 05 giờ đến 22 giờ.,Từ 23 giờ ngày hôm trước đến 05 giờ sáng hôm sau.,,2,False,1,
42,Người lái xe sử dụng đèn như thế nào khi đi trên các đoạn đường qua khu đông dân cư có hệ thống chiếu sáng đang hoạt động?,Chỉ bật đèn chiếu xa (đèn pha).,Bật đèn chiếu xa (đèn pha) khi đường vắng bật đèn chiếu gần (đèn cốt) khi có xe đi ngược chiều.,Chỉ bật đèn chiếu gần (đèn cốt).,,3,False,1,
43,Khi điều khiển phương tiện tham gia giao thông hành vi nào sau đây bị cấm?,Dùng tay cầm và sử dụng điện thoại hoặc thiết bị điện tử khác.,Chỉ được chở người trên thùng xe ô tô chở hàng trong trường hợp chở người đi làm nhiệm vụ cứu nạn cứu hộ phòng chống thiên tai dịch bệnh hoặc thực hiện nhiệm vụ khẩn cấp.,,,1,True,1,
44,Người lái xe không được vượt xe khác khi gặp trường hợp nào dưới đây?,Trên cầu hẹp có một làn đường; nơi đường giao nhau đường bộ giao nhau cùng mức với đường sắt; khi gặp xe ưu tiên.,Trên cầu có từ 02 làn xe trở lên.,Trên đường có 02 làn đường được phân chia làn bằng vạch kẻ nét đứt.,,1,True,1,
45,Nơi nào cấm quay đầu xe?,Ở phần đường dành cho người đi bộ qua đường trên cầu đầu cầu gầm cầu vượt ngầm.,Tại nơi đường bộ giao nhau cùng mức với đường sắt đường hẹp đường dốc đoạn đường cong tầm nhìn bị che khuất trên đường cao tốc trong hầm đường bộ trên đường một chiều.,Cả hai ý trên.,,3,False,1,
46,Trước khi cho xe chuyển hướng người lái xe phải làm gì để bảo đảm an toàn giao thông?,Phải quan sát bảo đảm khoảng cách an toàn với xe phía sau.,Giảm tốc độ và có tín hiệu báo hướng rẽ.,Chuyển dần sang làn gần nhất với hướng rẽ. Khi bảo đảm an toàn không gây trở ngại cho người và phương tiện khác mới được chuyển hướng.,Cả ba ý trên.,4,False,1,
47,Khi chuyển làn đường người lái xe phải bật đèn tín hiệu báo rẽ như thế nào là đúng quy tắc giao thông?,Khi bắt đầu chuyển làn đường.,Trước khi thay đổi làn đường.,Sau khi thay đổi làn đường.,,2,False,1,
48,Người điều khiển phương tiện tham gia giao thông không được dừng xe đỗ xe ở những vị trí nào sau đây?,Trên miệng cống thoát nước miệng hầm của đường điện thoại điện cao thế chỗ dành riêng cho xe chữa cháy lấy nước.,Trong phạm vi an toàn của đường sắt.,Cả hai ý trên.,,3,False,1,
49,Người điều khiển xe mô tô hai bánh xe mô tô ba bánh xe gắn máy có được phép sử dụng xe để kéo hoặc đẩy các phương tiện khác khi tham gia giao thông không?,Được phép.,Nếu phương tiện được kéo đẩy có khối lượng nhỏ hơn phương tiện của mình.,Tùy trường hợp.,Không được phép.,4,True,1,
50,Khi điều khiển xe mô tô hai bánh xe mô tô ba bánh xe gắn máy những hành vi nào sau đây không được phép?,Buông cả hai tay; đứng nằm trên xe điều khiển xe; sử dụng chân chống hoặc vật khác quệt xuống đường khi xe đang chạy.,Chở tối đa hai người phía sau khi chở người bệnh đi cấp cứu áp giải người có hành vi vi phạm pháp luật trẻ em dưới 12 tuổi và người già yếu hoặc người khuyết tật.,,,1,True,1,
51,Khi điều khiển xe mô tô hai bánh xe mô tô ba bánh xe gắn máy những hành vi nào sau đây không được phép?,Buông cả hai tay; sử dụng xe để kéo đẩy xe khác vật khác; sử dụng chân chống hoặc vật khác quệt xuống đường khi xe đang chạy.,Sử dụng xe để chở người hoặc hàng hóa; để chân chạm xuống đất khi khởi hành.,Đội mũ bảo hiểm; chạy xe đúng tốc độ quy định và chấp hành đúng quy tắc giao thông đường bộ.,Chở người ngồi sau dưới 16 tuổi.,1,True,1,
52,Người được chở trên xe mô tô hai bánh xe mô tô ba bánh xe gắn máy khi tham gia giao thông đường bộ không được thực hiện hành vi nào sau đây?,Mang vác vật cồng kềnh.,Bám kéo hoặc đẩy các phương tiện khác.,Dùng tay cầm điện thoại hoặc các thiết bị điện tử khác.,Ý 1 và 2.,4,False,1,
53,Người được chở trên xe mô tô hai bánh xe mô tô ba bánh xe gắn máy khi tham gia giao thông đường bộ có được bám kéo hoặc đẩy các phương tiện khác không?,Được phép.,Được bám trong trường hợp phương tiện của mình bị hỏng.,Được kéo đẩy trong trường hợp phương tiện khác bị hỏng.,Không được phép.,4,False,1,
54,Người lái xe người được chở trên xe mô tô hai bánh xe mô tô ba bánh xe gắn máy phải thực hiện quy định nào dưới đây?,Đội mũ bảo hiểm theo đúng quy chuẩn kỹ thuật quốc gia và cài quai đúng quy cách.,Người lái xe phải đội mũ bảo hiểm người được chở trên xe không nhất thiết phải đội mũ bảo hiểm.,Phải đội mũ bảo hiểm nhưng không nhất thiết phải cài quai.,,1,True,1,
55,Người lái xe mô tô hai bánh xe gắn máy được phép chở tối đa hai người trong những trường hợp nào?,Chở người bệnh đi cấp cứu; áp giải người có hành vi vi phạm pháp luật; trẻ em dưới 12 tuổi; người già yếu hoặc người khuyết tật.,Người đã uống rượu bia; người trong cơ thể có chất ma tuý.,Cả hai ý trên.,,1,False,1,
56,Người lái xe mô tô hai bánh xe mô tô ba bánh xe gắn máy không được thực hiện các hành vi nào dưới đây?,Đi xe dàn hàng ngang; buông cả hai tay.,Sử dụng xe để kéo đẩy xe khác vật khác dẫn dắt vật nuôi mang vác và chở vật cồng kềnh; chở người đứng trên xe giá đèo hàng hoặc ngồi trên tay lái; xếp hàng hóa trên xe quá giới hạn quy định.,Ngồi về một bên điều khiển xe; đứng nằm trên xe điều khiển xe; thay người lái xe khi xe đang chạy; quay người về phía sau để điều khiển xe hoặc bịt mắt điều khiển xe; sử dụng chân chống hoặc vật khác quệt xuống đường khi xe đang chạy.,Cả ba ý trên.,4,True,1,
57,Người lái xe mô tô hai bánh xe mô tô ba bánh xe gắn máy không được thực hiện các hành vi nào sau đây?,Đi xe dàn hàng ngang; đi xe vào phần đường dành cho người đi bộ và phương tiện khác.,Sử dụng ô thiết bị âm thanh trừ thiết bị trợ thính.,Cả hai ý trên.,,3,True,1,
58,Người lái xe mô tô hai bánh xe mô tô ba bánh xe gắn máy không được thực hiện hành vi nào sau đây?,Đi trên phần đường làn đường quy định chấp hành hiệu lệnh của người điều khiển giao thông đèn tín hiệu giao thông.,Đi xe dàn hàng ngang đi xe vào phần đường dành cho người đi bộ.,Cả hai ý trên.,,2,True,1,
59,Người được chở trên xe mô tô hai bánh xe mô tô ba bánh xe gắn máy khi tham gia giao thông đường bộ có được sử dụng ô khi trời mưa hay không?,Được sử dụng.,Chỉ người ngồi sau được sử dụng.,Không được sử dụng.,Được sử dụng nếu không có áo mưa.,3,False,1,
60,Người được chở trên xe mô tô có được kéo theo người đang điều khiển xe đạp hay không?,Chỉ được phép nếu cả hai đội mũ bảo hiểm.,Không được phép.,Chỉ được thực hiện trên đường vắng.,,2,False,1,
61,Trường hợp người được chở trên xe mô tô xe gắn máy các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy không đội ""mũ bảo hiểm cho người đi mô tô xe máy"" hoặc không cài quai đúng quy cách (trừ trường hợp chở người bệnh đi cấp cứu trẻ em dưới 06 tuổi áp giải người có hành vi vi phạm pháp luật) thì việc xử phạt vi phạm hành chính được quy định như thế nào?,Không bị xử phạt chỉ bị nhắc nhở.,Người được chở không bị xử phạt chỉ xử phạt người điều khiển xe mô tô xe gắn máy.,Người được chở bị xử phạt không xử phạt người điều khiển xe mô tô xe gắn máy.,Xử phạt cả người điều khiển và người được chở trên xe mô tô xe gắn máy.,4,False,1,
62,Trong các trường hợp dưới đây để bảo đảm an toàn khi tham gia giao thông người lái xe mô tô cần thực hiện như thế nào?,Phải đội mũ bảo hiểm theo đúng quy chuẩn kỹ thuật quốc gia và cài quai đúng quy cách không sử dụng ô điện thoại di động thiết bị âm thanh (trừ thiết bị trợ thính).,Phải đội mũ bảo hiểm khi trời mưa gió hoặc trời quá nắng; có thể sử dụng ô điện thoại di động thiết bị âm thanh nhưng phải bảo đảm an toàn.,Phải đội mũ bảo hiểm khi cảm thấy mất an toàn giao thông hoặc khi chuẩn bị di chuyển quãng đường xa.,,1,False,1,
63,Thứ tự xuống phà như thế nào là đúng quy tắc giao thông?,Xe thô sơ người đi bộ xuống trước xe cơ giới xe máy chuyên dùng xuống sau.,Xe cơ giới xe máy chuyên dùng xuống trước xe thô sơ người đi bộ xuống sau.,Xe cơ giới xe thô sơ xuống trước xe máy chuyên dùng người đi bộ xuống sau.,,2,False,1,
64,Khi lái xe trong đô thị và khu đông dân cư trong thời gian từ 22 giờ ngày hôm trước đến 05 giờ ngày hôm sau nếu cần vượt một xe khác người lái xe phải báo hiệu như thế nào là đúng quy tắc giao thông?,Chỉ được báo hiệu bằng còi.,Phải báo hiệu bằng cả còi và đèn.,Chỉ được báo hiệu bằng đèn.,,3,False,1,
65,Khi điều khiển xe chạy trên đường biết có xe sau xin vượt nếu đủ điều kiện an toàn người điều khiển phương tiện phải làm gì?,Tăng tốc độ và ra hiệu cho xe sau vượt không được gây trở ngại cho xe xin vượt.,Giảm tốc độ có tín hiệu rẽ phải để báo hiệu cho người điều khiển phương tiện tham gia giao thông đường bộ phía sau biết được vượt và đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua không được cản trở đối với xe xin vượt.,Cho xe đi sát về bên trái của phần đường xe chạy và ra hiệu cho xe sau vượt không được gây trở ngại cho xe xin vượt.,,2,False,1,
